a,b,result
0.84683125,0.81040124,TRUE
0.404983898,0.706875899,TRUE
0.626285831,0.443622321,TRUE
0.472098428,0.658784836,TRUE
0.530682791,0.357401562,TRUE
0.455989369,0.592586494,TRUE
0.660864914,0.306801176,TRUE
0.386345063,0.874374378,TRUE
0.709592221,0.372511757,TRUE
0.619572794,0.412074886,TRUE
0.409971671,0.287627721,TRUE
0.42245421,0.698801953,TRUE
0.577305272,0.705069638,TRUE
0.261096352,0.375859005,TRUE
0.565471236,0.79860216,TRUE
0.722378578,0.511689848,TRUE
0.849222929,0.197489625,TRUE
0.530545807,0.188286391,TRUE
0.551722394,0.717315072,TRUE
1.218712151,0.434108169,FALSE
1.220706978,1.070017687,FALSE
1.038762114,0.733457501,FALSE
1.067263413,1.366985158,FALSE
1.312448247,1.296455479,FALSE
0.912691879,1.321315526,FALSE
1.047815761,1.020549225,FALSE
0.785326128,0.797950805,FALSE
0.717342259,1.005559356,FALSE
1.020324304,0.826142075,FALSE
1.014753797,1.155630473,FALSE
1.124674851,0.961108081,FALSE
0.827800954,1.165918597,FALSE
1.151341707,1.3330408,FALSE
1.337872042,0.900266193,FALSE
1.354757101,1.098621249,FALSE
1.092609356,1.087101195,FALSE
1.120198861,0.9036462,FALSE
1.096701855,1.011618326,FALSE
1.129978078,0.557626631,FALSE
